timestamp,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price
0,10002,1,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10003.0
100,9996,2,9995.0,22.0,,,10004,2,10005.0,22.0,,,10000.0
200,9995,20,,,,,10005,20,,,,,10000.0
300,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0
400,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0
500,9995,30,,,,,10002,4,10005.0,30.0,,,9998.5
600,10000,5,9995.0,25.0,,,10005,25,,,,,10002.5
700,9995,23,,,,,10005,23,,,,,10000.0
800,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0
900,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0
1000,9995,26,,,,,10005,26,,,,,10000.0
1100,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0
1200,9995,21,,,,,9998,1,10005.0,21.0,,,9996.5
1300,10002,1,9996.0,1.0,9995.0,30.0,10004,1,10005.0,30.0,,,10003.0
1400,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0
1500,9995,27,,,,,10005,27,,,,,10000.0
1600,9995,29,,,,,10005,29,,,,,10000.0
1700,9996,2,9995.0,20.0,,,10002,1,10004.0,2.0,10005.0,20.0,9999.0
1800,10002,1,9996.0,1.0,9995.0,22.0,10004,1,10005.0,22.0,,,10003.0
1900,9996,1,9995.0,28.0,,,10004,1,10005.0,28.0,,,10000.0
2000,9996,2,9995.0,24.0,,,9998,1,10004.0,2.0,10005.0,24.0,9997.0
2100,9996,2,9995.0,25.0,,,10002,3,10004.0,2.0,10005.0,25.0,9999.0
2200,9998,8,9996.0,1.0,9995.0,24.0,10004,1,10005.0,24.0,,,10001.0
2300,9998,7,9996.0,2.0,9995.0,30.0,10004,2,10005.0,30.0,,,10001.0
2400,9995,29,,,,,10005,29,,,,,10000.0
2500,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0
2600,9995,23,,,,,10005,23,,,,,10000.0
2700,9998,6,9995.0,26.0,,,10005,26,,,,,10001.5
2800,9995,25,,,,,10005,25,,,,,10000.0
2900,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0
3000,9998,1,9995.0,26.0,,,10005,26,,,,,10001.5
3100,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0
3200,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0
3300,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0
3400,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0
3500,9995,26,,,,,10005,26,,,,,10000.0
3600,9995,21,,,,,9998,4,10005.0,21.0,,,9996.5
3700,10002,1,9996.0,1.0,9995.0,23.0,10004,1,10005.0,23.0,,,10003.0
3800,9996,2,9995.0,23.0,,,10002,10,10004.0,2.0,10005.0,23.0,9999.0
3900,9998,1,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10001.0
4000,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0
4100,9996,2,9995.0,27.0,,,10004,2,10005.0,27.0,,,10000.0
4200,9996,2,9995.0,24.0,,,10002,4,10004.0,2.0,10005.0,24.0,9999.0
4300,9995,22,,,,,9998,1,10000.0,6.0,10005.0,22.0,9996.5
4400,9995,30,,,,,10005,30,,,,,10000.0
4500,9996,1,9995.0,28.0,,,10002,10,10004.0,1.0,10005.0,28.0,9999.0
4600,9996,1,9995.0,29.0,,,10002,10,10004.0,1.0,10005.0,29.0,9999.0
4700,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0
4800,9998,6,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10001.0
4900,9995,22,,,,,10002,7,10005.0,22.0,,,9998.5
5000,9998,3,9996.0,2.0,9995.0,28.0,10004,2,10005.0,28.0,,,10001.0
5100,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0
5200,9998,9,9996.0,1.0,9995.0,26.0,10004,1,10005.0,26.0,,,10001.0
5300,9996,1,9995.0,20.0,,,10004,1,10005.0,20.0,,,10000.0
5400,9995,21,,,,,10005,21,,,,,10000.0
5500,9995,27,,,,,10005,27,,,,,10000.0
5600,9995,28,,,,,10005,28,,,,,10000.0
5700,9998,2,9995.0,27.0,,,10005,27,,,,,10001.5
5800,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0
5900,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0
6000,9995,30,,,,,10005,30,,,,,10000.0
6100,9996,1,9995.0,24.0,,,10004,1,10005.0,24.0,,,10000.0
6200,9996,1,9995.0,21.0,,,10004,1,10005.0,21.0,,,10000.0
6300,9996,2,9995.0,23.0,,,10004,2,10005.0,23.0,,,10000.0
6400,9996,1,9995.0,24.0,,,10004,1,10005.0,24.0,,,10000.0
6500,9996,1,9995.0,26.0,,,9998,1,10004.0,1.0,10005.0,26.0,9997.0
6600,9996,2,9995.0,24.0,,,10004,2,10005.0,24.0,,,10000.0
6700,9995,20,,,,,10002,3,10005.0,20.0,,,9998.5
6800,9996,2,9995.0,30.0,,,10004,2,10005.0,30.0,,,10000.0
6900,9996,1,9995.0,26.0,,,10002,5,10004.0,1.0,10005.0,26.0,9999.0
7000,9998,2,9995.0,27.0,,,10005,27,,,,,10001.5
7100,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0
7200,9998,5,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0
7300,10002,1,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10003.0
7400,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0
7500,9995,25,,,,,10002,10,10005.0,25.0,,,9998.5
7600,9996,2,9995.0,20.0,,,10004,2,10005.0,20.0,,,10000.0
7700,9995,22,,,,,10005,22,,,,,10000.0
7800,9998,3,9996.0,1.0,9995.0,22.0,10004,1,10005.0,22.0,,,10001.0
7900,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0
8000,9995,27,,,,,10005,27,,,,,10000.0
8100,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0
8200,9995,23,,,,,10005,23,,,,,10000.0
8300,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0
8400,9995,28,,,,,10005,28,,,,,10000.0
8500,9998,10,9996.0,2.0,9995.0,29.0,10004,2,10005.0,29.0,,,10001.0
8600,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0
8700,9998,10,9995.0,27.0,,,10005,27,,,,,10001.5
8800,9995,25,,,,,9998,1,10005.0,25.0,,,9996.5
8900,9998,9,9995.0,26.0,,,10005,26,,,,,10001.5
9000,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0
9100,9998,3,9996.0,2.0,9995.0,27.0,10004,2,10005.0,27.0,,,10001.0
