timestamp,action,price,type,shares
165,open position,5111,short,1
182,close position,4852,short,1
184,open position,5040,long,1
185,close position,4885,long,1
186,open position,4925,short,1
218,close position,5182,short,1
220,open position,4955,long,1
247,close position,5134,long,1
250,open position,5176,long,1
253,close position,4993,long,1
255,open position,5002,short,1
263,close position,5133,short,1
270,open position,4865,long,1
275,close position,4837,long,1
276,open position,5092,short,1
277,close position,5190,short,1
280,open position,5149,long,1
289,close position,5185,long,1
290,open position,4829,long,1
291,close position,4967,long,1
293,open position,4898,long,1
348,close position,5152,long,1
349,open position,4822,short,1
390,close position,5033,short,1
391,open position,4996,long,1
412,close position,5053,long,1
421,open position,5106,long,1
475,close position,5093,long,1
476,open position,5185,short,1
477,close position,5202,short,1
478,open position,5018,long,1
488,close position,4979,long,1
489,open position,4997,short,1
492,close position,4995,short,1
493,open position,5090,long,1
494,close position,4862,long,1
496,open position,4953,short,1
497,close position,4962,short,1
500,open position,5141,long,1
502,close position,5160,long,1
505,open position,4917,short,1
512,close position,5063,short,1
514,open position,4947,long,1
515,close position,5014,long,1
516,open position,5178,short,1
517,close position,5026,short,1
521,open position,5100,long,1
527,close position,5056,long,1
528,open position,4877,short,1
530,close position,4993,short,1
532,open position,4930,long,1
533,close position,4913,long,1
535,open position,4965,short,1
551,close position,4993,short,1
552,open position,5195,long,1
570,close position,5090,long,1
571,open position,4914,long,1
572,close position,4887,long,1
577,open position,5199,short,1
599,close position,5003,short,1
600,open position,4827,long,1
601,close position,5033,long,1
607,open position,5060,short,1
613,close position,4858,short,1
614,open position,5173,long,1
632,close position,4839,long,1
637,open position,5045,short,1
683,close position,5169,short,1
684,open position,5005,long,1
700,close position,5026,long,1
702,open position,4907,long,1
708,close position,5111,long,1
709,open position,5088,short,1
711,close position,4845,short,1
715,open position,5043,short,1
719,close position,4971,short,1
720,open position,4891,long,1
724,close position,4928,long,1
725,open position,5016,short,1
759,close position,5008,short,1
761,open position,4896,long,1
762,close position,5067,long,1
763,open position,4947,long,1
764,close position,4858,long,1
765,open position,5164,short,1
766,close position,4830,short,1
767,open position,4846,short,1
770,close position,4833,short,1
781,open position,5178,long,1
783,close position,5127,long,1
784,open position,5120,long,1
812,close position,4907,long,1
820,open position,5074,long,1
902,close position,5177,long,1
903,open position,5058,long,1
905,close position,5178,long,1
908,open position,4861,short,1
926,close position,4934,short,1
927,open position,4828,short,1
960,close position,4869,short,1
965,open position,5036,short,1
971,close position,4972,short,1
974,open position,4864,long,1
975,close position,4858,long,1
976,open position,5103,short,1
977,close position,4976,short,1
995,open position,4822,short,1
1026,close position,5124,short,1
1028,open position,5134,short,1
1030,close position,4852,short,1
1033,open position,5156,long,1
1060,close position,4933,long,1
1062,open position,4896,long,1
1065,close position,5025,long,1
1066,open position,5084,short,1
1091,close position,4892,short,1
1093,open position,4951,long,1
1094,close position,5186,long,1
1099,open position,4961,short,1
1104,close position,4826,short,1
1115,open position,4878,short,1
1136,close position,5042,short,1
1138,open position,4965,short,1
1139,close position,5133,short,1
1140,open position,5028,long,1
1170,close position,5176,long,1
1172,open position,4959,short,1
1201,close position,5131,short,1
1202,open position,4933,long,1
1210,close position,5169,long,1
1212,open position,5082,long,1
1239,close position,5196,long,1
1245,open position,4854,short,1
1256,close position,5111,short,1
1258,open position,5010,short,1
1262,close position,5121,short,1
1263,open position,5165,long,1
1281,close position,5019,long,1
1282,open position,5178,long,1
1288,close position,4895,long,1
1289,open position,4904,short,1
1293,close position,5043,short,1
1294,open position,4872,long,1
1297,close position,5094,long,1
1298,open position,5042,short,1
1303,close position,5080,short,1
1308,open position,4820,short,1
1312,close position,5088,short,1
1313,open position,4826,long,1
1317,close position,5097,long,1
1318,open position,4813,short,1
1332,close position,4943,short,1
1333,open position,5048,long,1
1334,close position,5125,long,1
1336,open position,5178,short,1
1338,close position,4839,short,1
1340,open position,4974,long,1
1342,close position,5060,long,1
1344,open position,5119,long,1
1351,close position,5069,long,1
