day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
1,0,AMETHYSTS,9998,9,9995.0,23.0,,,10005,23,,,,,10001.5,0.0
1,0,STARFRUIT,5036,23,,,,,5043,23,,,,,5039.5,0.0
1,100,AMETHYSTS,10002,1,10000.0,2.0,9998.0,4.0,10004,1,10005.0,21.0,,,10003.0,0.0
1,100,STARFRUIT,5042,1,5039.0,2.0,5037.0,1.0,5043,22,,,,,5042.5,0.0
1,200,AMETHYSTS,9996,1,9995.0,21.0,,,10004,1,10005.0,21.0,,,10000.0,0.0
1,200,STARFRUIT,5037,1,5036.0,21.0,,,5043,1,5044.0,21.0,,,5040.0,0.0
1,300,STARFRUIT,5042,1,5037.0,26.0,,,5044,26,,,,,5043.0,0.0
1,300,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,0.0
1,400,AMETHYSTS,9998,8,9996.0,2.0,9995.0,26.0,10004,2,10005.0,26.0,,,10001.0,0.0
1,400,STARFRUIT,5037,28,,,,,5044,28,,,,,5040.5,0.0
1,500,AMETHYSTS,9998,8,9996.0,1.0,9995.0,23.0,10004,1,10005.0,23.0,,,10001.0,0.0
1,500,STARFRUIT,5037,24,,,,,5042,3,5044.0,24.0,,,5039.5,0.0
1,600,AMETHYSTS,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,0.0
1,600,STARFRUIT,5041,5,5037.0,30.0,,,5044,30,,,,,5042.5,0.0
1,700,STARFRUIT,5036,22,,,,,5043,23,,,,,5039.5,0.0
1,700,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0
1,800,AMETHYSTS,9996,1,9995.0,24.0,,,10000,3,10004.0,1.0,10005.0,24.0,9998.0,0.0
1,800,STARFRUIT,5036,25,,,,,5039,3,5043.0,25.0,,,5037.5,0.0
1,900,AMETHYSTS,9996,1,9995.0,20.0,,,9998,11,10004.0,1.0,10005.0,20.0,9997.0,0.0
1,900,STARFRUIT,5036,21,,,,,5043,21,,,,,5039.5,0.0
1,1000,AMETHYSTS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,0.0
1,1000,STARFRUIT,5037,1,5036.0,30.0,,,5043,31,,,,,5040.0,0.0
1,1100,STARFRUIT,5037,22,,,,,5043,1,5044.0,21.0,,,5040.0,0.0
1,1100,AMETHYSTS,9996,1,9995.0,21.0,,,10002,6,10004.0,1.0,10005.0,21.0,9999.0,0.0
1,1200,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,0.0
1,1200,STARFRUIT,5036,23,,,,,5037,1,5043.0,23.0,,,5036.5,0.0
1,1300,AMETHYSTS,10002,1,9995.0,25.0,,,10005,25,,,,,10003.5,0.0
1,1300,STARFRUIT,5036,25,,,,,5043,25,,,,,5039.5,0.0
1,1400,AMETHYSTS,9995,23,,,,,10000,6,10005.0,23.0,,,9997.5,0.0
1,1400,STARFRUIT,5036,23,,,,,5039,6,5043.0,23.0,,,5037.5,0.0
1,1500,STARFRUIT,5041,1,5036.0,21.0,,,5043,21,,,,,5042.0,0.0
1,1500,AMETHYSTS,9996,1,9995.0,20.0,,,9998,4,10004.0,1.0,10005.0,20.0,9997.0,0.0
