timestamp,day,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,0,STARFRUIT,5036,23,,,,,5043,23,,,,,5039.5,0.0
100,0,STARFRUIT,5042,1,5039.0,2.0,5037.0,1.0,5043,22,,,,,5042.5,0.0
200,0,STARFRUIT,5037,1,5036.0,21.0,,,5043,1,5044.0,21.0,,,5040.0,0.0
300,0,STARFRUIT,5042,1,5037.0,26.0,,,5044,26,,,,,5043.0,0.0
400,0,STARFRUIT,5037,28,,,,,5044,28,,,,,5040.5,0.0
500,0,STARFRUIT,5037,24,,,,,5042,3,5044.0,24.0,,,5039.5,0.0
600,0,STARFRUIT,5041,5,5037.0,30.0,,,5044,30,,,,,5042.5,0.0
700,0,STARFRUIT,5036,22,,,,,5043,23,,,,,5039.5,0.0
800,0,STARFRUIT,5036,25,,,,,5039,3,5043.0,25.0,,,5037.5,0.0
900,0,STARFRUIT,5036,21,,,,,5043,21,,,,,5039.5,0.0
1000,0,STARFRUIT,5037,1,5036.0,30.0,,,5043,31,,,,,5040.0,0.0
1100,0,STARFRUIT,5037,22,,,,,5043,1,5044.0,21.0,,,5040.0,0.0
1200,0,STARFRUIT,5036,23,,,,,5037,1,5043.0,23.0,,,5036.5,0.0
1300,0,STARFRUIT,5036,25,,,,,5043,25,,,,,5039.5,0.0
1400,0,STARFRUIT,5036,23,,,,,5039,6,5043.0,23.0,,,5037.5,0.0
1500,0,STARFRUIT,5041,1,5036.0,21.0,,,5043,21,,,,,5042.0,0.0
1600,0,STARFRUIT,5037,30,,,,,5043,2,5044.0,28.0,,,5040.0,0.0
1700,0,STARFRUIT,5036,28,,,,,5041,8,5043.0,28.0,,,5038.5,0.0
1800,0,STARFRUIT,5040,4,5036.0,23.0,,,5044,23,,,,,5042.0,0.0
1900,0,STARFRUIT,5036,31,,,,,5043,32,,,,,5039.5,0.0
2000,0,STARFRUIT,5036,23,,,,,5043,23,,,,,5039.5,0.0
2100,0,STARFRUIT,5036,28,,,,,5041,5,5043.0,28.0,,,5038.5,0.0
2200,0,STARFRUIT,5037,4,5036.0,21.0,,,5043,21,,,,,5040.0,0.0
2300,0,STARFRUIT,5038,5,5037.0,24.0,,,5043,2,5044.0,22.0,,,5040.5,0.0
2400,0,STARFRUIT,5037,22,,,,,5043,2,5044.0,20.0,,,5040.0,0.0
2500,0,STARFRUIT,5036,23,,,,,5043,23,,,,,5039.5,0.0
